simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
3,Ricker,sigma,0.1,Beverton-Holt,16.16,12.5,22.31,1.007,16059.999999999996,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.16,1073.37,16452.45
3,Beverton-Holt,K,10000,Ricker,9628.24,9170.88,10202.41,1.001,-3.7176000000000022,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.19,9628.24
3,Beverton-Holt,Smsy,724.2648536151773,Ricker,3704.19,3467.83,4010.08,1.001,411.4413576070256,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.19,9628.24
3,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.002,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.19,9628.24
3,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.19,9628.24
3,Ricker,K,10000,Ricker,9945.85,9843.63,10048.5,1.001,-0.5414999999999963,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9945.85
3,Ricker,Smsy,1928.814402774944,Ricker,1926.49,1921.5,1931.61,1,-0.1205094057572336,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9945.85
3,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9945.85
3,Ricker,sigma,0.1,Ricker,0.12,0.09,0.17,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9945.85
4,Beverton-Holt,K,10000,Beverton-Holt,10039.9,9666.14,10413.31,1.004,0.39899999999999636,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.68,0.11,342.09,10039.9
4,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,342.09,73.62,1313.9,1.004,-52.76727866988804,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.68,0.11,342.09,10039.9
4,Beverton-Holt,alpha,5.1,Beverton-Holt,6.68,3.82,9.81,1.004,30.98039215686275,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.68,0.11,342.09,10039.9
4,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.002,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.68,0.11,342.09,10039.9
4,Ricker,K,10000,Beverton-Holt,13997.75,254.86,206718.85,1.031,39.9775,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.27,15.93,973.39,13997.75
4,Ricker,Smsy,1928.814402774944,Beverton-Holt,973.39,3.85,34256.13,1.035,-49.53428393112346,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.27,15.93,973.39,13997.75
4,Ricker,alpha,5.1,Beverton-Holt,5.27,0.23,9.75,1.012,3.333333333333332,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.27,15.93,973.39,13997.75
4,Ricker,sigma,0.1,Beverton-Holt,15.93,12.45,21.76,1.009,15830,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.27,15.93,973.39,13997.75
4,Beverton-Holt,K,10000,Ricker,9628.44,9167.76,10178.21,1.001,-3.715599999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.72,9628.44
4,Beverton-Holt,Smsy,724.2648536151773,Ricker,3702.72,3461.41,3994.95,1.002,411.23839318142046,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.72,9628.44
4,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.002,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.72,9628.44
4,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702.72,9628.44
4,Ricker,K,10000,Ricker,9947.19,9844.27,10047.8,1.001,-0.5280999999999949,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.19
