simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
7,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.68,2.88,9.79,1,206.81252811960726,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,308.06,9065.57
7,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.61,0.96,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,308.06,9065.57
7,Beverton-Holt,K,9706,Ricker,11821,8871.12,16368.17,1,21.79064496187925,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4880.39,11821
7,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4880.39,3753.87,6882.61,1.001,99.62789198068096,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4880.39,11821
7,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.83,1.68,1.002,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4880.39,11821
7,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.16,1,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4880.39,11821
8,Beverton-Holt,K,9706,Beverton-Holt,9041.76,7089.24,11530.57,1.001,-6.8436018957345945,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,311.27,9041.76
8,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,311.27,63.94,1913.61,1.001,-87.26778516945848,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,311.27,9041.76
8,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.64,2.83,9.82,1,204.975327352424,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,311.27,9041.76
8,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,311.27,9041.76
8,Beverton-Holt,K,9706,Ricker,11789.72,9061.09,16339.33,1,21.468370080362657,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4867.87,11789.72
8,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4867.87,3822.51,6829.74,1,99.11577282471222,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4867.87,11789.72
8,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.68,1.001,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4867.87,11789.72
8,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.17,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4867.87,11789.72
9,Beverton-Holt,K,9706,Beverton-Holt,9046.56,7118.88,11549.03,1,-6.794147949721827,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,309.17,9046.56
9,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,309.17,64.28,1906.02,1,-87.35368374993246,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,309.17,9046.56
9,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.67,2.82,9.83,1,206.35322792781145,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,309.17,9046.56
9,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,309.17,9046.56
9,Beverton-Holt,K,9706,Ricker,11793.14,8905.25,16322.42,1,21.503606016896757,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.23,0.91,4868.97,11793.14
9,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4868.97,3774.43,6895.8,1.001,99.16076731924623,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.23,0.91,4868.97,11793.14
9,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.23,0.82,1.69,1.005,-43.50607640911423,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.23,0.91,4868.97,11793.14
9,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.74,1.17,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.23,0.91,4868.97,11793.14
10,Beverton-Holt,K,9706,Beverton-Holt,9076.37,7177.77,11621.32,1.002,-6.487018339171638,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.71,0.75,302.44,9076.37
10,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,302.44,63.58,1873.95,1.001,-87.62896824830861,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.71,0.75,302.44,9076.37
10,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.71,2.89,9.84,1.002,208.19042869499472,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.71,0.75,302.44,9076.37
10,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.61,0.96,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.71,0.75,302.44,9076.37
10,Beverton-Holt,K,9706,Ricker,11820.53,8992.68,16466.99,1.002,21.78580259633217,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.11,11820.53
10,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4885.11,3811.17,6871.42,1.003,99.82095926631769,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.11,11820.53
10,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.69,1.002,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.11,11820.53
10,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.17,1.002,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.11,11820.53
11,Beverton-Holt,K,9706,Beverton-Holt,9081.11,7104.42,11695.89,1.002,-6.4381825674840245,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.79,9081.11
11,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,314.79,63.71,1930,1,-87.1238027869497,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.79,9081.11
11,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.64,2.68,9.84,1,204.975327352424,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.79,9081.11
11,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.97,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.79,9081.11
11,Beverton-Holt,K,9706,Ricker,11792.24,8891.67,16587.22,1,21.494333402019368,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4860.29,11792.24
11,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4860.29,3777.29,7007.28,1,98.80571985328709,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4860.29,11792.24
11,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.81,1.67,1.001,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4860.29,11792.24
11,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.18,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4860.29,11792.24
12,Beverton-Holt,K,9706,Beverton-Holt,9039.72,7132.05,11597.87,1,-6.864619822790033,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.59,0.75,324,9039.72
12,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,324,64.68,1886.44,1.001,-86.74707615544237,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.59,0.75,324,9039.72
12,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.59,2.78,9.83,1.002,202.6788263934449,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.59,0.75,324,9039.72
