simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
3,Beverton-Holt,b_cov,-0.1743312318341315,Beverton-Holt,-0.41,-0.85,0,1.002,135.18447938812076,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.74,1.15,4956.26,12674.1
3,Beverton-Holt,sigma,1.1291761617370997,Beverton-Holt,1.15,0.93,1.45,1.001,1.8441620509297068,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.74,1.15,4956.26,12674.1
3,Beverton-Holt,K,9340,Ricker,17517.35,3973.81,38878.03,1.002,87.5519271948608,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.52,1.15,8070.42,17517.35
3,Beverton-Holt,Smsy,3181.6914249356464,Ricker,8070.42,1951.11,17903.01,1.002,153.65187638091692,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.52,1.15,8070.42,17517.35
3,Beverton-Holt,alpha,1.3207784157013982,Ricker,0.52,0.09,1.03,1.001,-60.62927786991019,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.52,1.15,8070.42,17517.35
3,Beverton-Holt,b_cov,-0.1743312318341315,Ricker,-0.35,-0.75,0.03,1.001,100.7672385020543,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.52,1.15,8070.42,17517.35
3,Beverton-Holt,sigma,1.1291761617370997,Ricker,1.15,0.93,1.45,1.001,1.8441620509297068,296.5289019498201,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.52,1.15,8070.42,17517.35
4,Ricker,K,8149,Beverton-Holt,7179.32,2607.26,19797.34,1.002,-11.899374156338205,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.81,472.06,7179.32
4,Ricker,Smsy,3507.0593042934433,Beverton-Holt,472.06,42.61,4328.11,1.002,-86.53972006056213,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.81,472.06,7179.32
4,Ricker,alpha,1.0350420754968355,Beverton-Holt,5.24,0.82,9.71,1.002,406.25961243988303,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.81,472.06,7179.32
4,Ricker,b_cov,0.1808314737006846,Beverton-Holt,0.23,-0.58,1.03,1.002,27.190248076338758,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.81,472.06,7179.32
