simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
3,Beverton-Holt,sigma,1.1291761617370997,Beverton-Holt,1.15,0.94,1.45,1.001,1.8441620509297068,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4074.98,9377.57
3,Beverton-Holt,K,9340,Ricker,12229.15,1314.78,31365.96,1,30.933083511777294,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.33,1.15,5806.32,12229.15
3,Beverton-Holt,Smsy,3181.6914249356464,Ricker,5806.32,655.94,14601.34,1,82.49161293563971,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.33,1.15,5806.32,12229.15
3,Beverton-Holt,alpha,1.3207784157013982,Ricker,0.33,0.03,0.75,1.003,-75.01473403282762,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.33,1.15,5806.32,12229.15
3,Beverton-Holt,b_cov,-0.1743312318341315,Ricker,-0.07,-0.41,0.28,1.001,-59.846552299589135,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.33,1.15,5806.32,12229.15
3,Beverton-Holt,sigma,1.1291761617370997,Ricker,1.15,0.93,1.45,1.002,1.8441620509297068,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.33,1.15,5806.32,12229.15
4,Ricker,K,8149,Beverton-Holt,7734.18,3225.45,19330.65,1.001,-5.090440544852125,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.86,525.71,7734.18
4,Ricker,Smsy,3507.0593042934433,Beverton-Holt,525.71,50.35,4215.98,1.001,-85.0099483816424,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.86,525.71,7734.18
4,Ricker,alpha,1.0350420754968355,Beverton-Holt,5.24,0.86,9.7,1.001,406.25961243988303,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.86,525.71,7734.18
4,Ricker,b_cov,0.1808314737006846,Beverton-Holt,0.18,-0.61,0.96,1,-0.45980585330010787,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.86,525.71,7734.18
4,Ricker,sigma,1.6452532895259242,Beverton-Holt,2.86,2.37,3.59,1.001,73.83341630175995,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.86,525.71,7734.18
4,Ricker,K,8149,Ricker,12648.9,8677.73,16404,1,55.22027242606454,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.61,4869.25,12648.9
4,Ricker,Smsy,3507.0593042934433,Ricker,4869.25,3699.8,5816.2,1,38.84139324473138,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.61,4869.25,12648.9
4,Ricker,alpha,1.0350420754968355,Ricker,1.65,1.05,2.25,1,59.41380926065016,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.61,4869.25,12648.9
