simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
59,Ricker,sigma,1.9641789642629288,Ricker,2.08,1.7,2.62,1,5.896664094482545,1.7993161462283624,1.9641789642629288,3106.9909893464796,8281,1.34,2.08,2330.56,5704.79
60,Beverton-Holt,K,8832,Beverton-Holt,9043.84,6967.34,12605.54,1.002,2.398550724637683,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,2.37,0.78,2095.25,9043.84
60,Beverton-Holt,Smsy,2386.488278020894,Beverton-Holt,2095.25,77.64,4285.35,1.006,-12.203633292614239,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,2.37,0.78,2095.25,9043.84
60,Beverton-Holt,alpha,1.9871221717285839,Beverton-Holt,2.37,0.97,9.38,1.008,19.267956128653804,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,2.37,0.78,2095.25,9043.84
60,Beverton-Holt,sigma,0.7688115626066604,Beverton-Holt,0.78,0.65,0.96,1.002,1.455289948476473,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,2.37,0.78,2095.25,9043.84
60,Beverton-Holt,K,8832,Ricker,11257.83,8352.47,16245.39,1.002,27.466372282608695,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,0.9,0.81,4924.19,11257.83
60,Beverton-Holt,Smsy,2386.488278020894,Ricker,4924.19,3762.44,7288.09,1.003,106.33623241944487,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,0.9,0.81,4924.19,11257.83
60,Beverton-Holt,alpha,1.9871221717285839,Ricker,0.9,0.49,1.29,1.004,-54.708371090384624,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,0.9,0.81,4924.19,11257.83
60,Beverton-Holt,sigma,0.7688115626066604,Ricker,0.81,0.67,1.01,1.002,5.3574164849563415,1.9871221717285839,0.7688115626066604,2386.488278020894,8832,0.9,0.81,4924.19,11257.83
61,Beverton-Holt,K,8881,Beverton-Holt,11652.59,5858.04,25160.19,1.001,31.208084675149195,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,4.3,2.06,1184.31,11652.59
61,Beverton-Holt,Smsy,2231.31109569584,Beverton-Holt,1184.31,81.3,7378.09,1.002,-46.923134013696554,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,4.3,2.06,1184.31,11652.59
61,Beverton-Holt,alpha,2.1839614485408703,Beverton-Holt,4.3,0.56,9.73,1.001,96.88992234148085,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,4.3,2.06,1184.31,11652.59
61,Beverton-Holt,sigma,1.8462674986897654,Beverton-Holt,2.06,1.69,2.61,1.004,11.57646448642537,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,4.3,2.06,1184.31,11652.59
61,Beverton-Holt,K,8881,Ricker,27744.23,1812.65,80285.94,1.001,212.3998423600946,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,0.34,2.24,13238.12,27744.23
61,Beverton-Holt,Smsy,2231.31109569584,Ricker,13238.12,904.28,35543.04,1.001,493.28885270799327,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,0.34,2.24,13238.12,27744.23
61,Beverton-Holt,alpha,2.1839614485408703,Ricker,0.34,0.02,0.98,1.001,-84.43195962881315,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,0.34,2.24,13238.12,27744.23
61,Beverton-Holt,sigma,1.8462674986897654,Ricker,2.24,1.86,2.86,1.001,21.32586429591886,2.1839614485408703,1.8462674986897654,2231.31109569584,8881,0.34,2.24,13238.12,27744.23
62,Beverton-Holt,K,8163,Beverton-Holt,6637.27,2739.94,16178.64,1.003,-18.6907999509984,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,2.94,1.97,1113.81,6637.27
62,Beverton-Holt,Smsy,2342.1027556160516,Beverton-Holt,1113.81,53.74,5319.29,1.008,-52.444016500589846,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,2.94,1.97,1113.81,6637.27
62,Beverton-Holt,alpha,1.8208105523868148,Beverton-Holt,2.94,0.24,9.46,1.006,61.466551044868034,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,2.94,1.97,1113.81,6637.27
62,Beverton-Holt,sigma,1.5828549992252707,Beverton-Holt,1.97,1.6,2.53,1.001,24.4586523063842,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,2.94,1.97,1113.81,6637.27
62,Beverton-Holt,K,8163,Ricker,12100.12,756.47,41758.48,1.001,48.231287516844304,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,0.26,2.19,5835.45,12100.12
