clones,parameter,fitting_model,estimate_median,estimate_lower,estimate_upper,estimate_variance,Rhat,error,true_value,generating_model,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
4,sigma,Ricker,1.23,1.11,1.36,0.004,1.002,11.818181818181808,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8914.31,19060.25
4,K,Ricker,6828.62,3255.11,10258.74,3005912.7796,1,-31.7138,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3178.43,6828.62
4,Smsy,Ricker,3178.43,1579.99,4768.21,608984.2734,1,-25.342506184702447,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3178.43,6828.62
4,alpha,Ricker,0.48,0.15,0.8,0.0279,1.001,-56.363636363636374,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3178.43,6828.62
4,sigma,Ricker,1.19,1.07,1.35,0.0055,1.001,8.181818181818167,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3178.43,6828.62
5,K,Beverton-Holt,12161.1,8857.94,20477.53,10583983.5385,1.001,21.611000000000004,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.95,1.2,4627.27,12161.1
5,Smsy,Beverton-Holt,4627.27,2831.73,8731.28,2582605.8518,1.002,26.474996919872616,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.95,1.2,4627.27,12161.1
5,alpha,Beverton-Holt,0.95,0.47,1.74,0.1167,1.004,-13.636363636363647,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.95,1.2,4627.27,12161.1
5,sigma,Beverton-Holt,1.2,1.1,1.32,0.0031,1,9.090909090909078,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.95,1.2,4627.27,12161.1
5,K,Beverton-Holt,5454.74,4298.37,7431.76,662811.326,1.001,-45.4526,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.77,1.17,1574.43,5454.74
5,Smsy,Beverton-Holt,1574.43,49.68,2879.55,685536.415,1.004,-63.018534940955455,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.77,1.17,1574.43,5454.74
5,alpha,Beverton-Holt,1.77,0.54,9.28,6.0561,1.003,60.90909090909091,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.77,1.17,1574.43,5454.74
5,sigma,Beverton-Holt,1.17,1.05,1.31,0.0043,1.003,6.363636363636348,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.77,1.17,1574.43,5454.74
5,K,Ricker,19099.9,12447.37,39419.86,70154745.4191,1.001,90.99900000000001,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8942.39,19099.9
5,Smsy,Ricker,8942.39,5925.01,18723.8,16097173.6801,1.001,144.4181445444721,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8942.39,19099.9
5,alpha,Ricker,0.46,0.24,0.69,0.0129,1.003,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8942.39,19099.9
5,sigma,Ricker,1.22,1.12,1.34,0.0031,1.002,10.9090909090909,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8942.39,19099.9
5,K,Ricker,6835.8,3905.13,9908.7,2295806.1058,1.001,-31.642,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3187.35,6835.8
5,Smsy,Ricker,3187.35,1898.76,4589.54,460758.0133,1.001,-25.132986124536753,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3187.35,6835.8
5,alpha,Ricker,0.48,0.19,0.79,0.0224,1.001,-56.363636363636374,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3187.35,6835.8
5,sigma,Ricker,1.19,1.07,1.34,0.0046,1.001,8.181818181818167,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3187.35,6835.8
6,K,Beverton-Holt,12007.45,8679.87,19248.88,15482449.4904,1.023,20.074500000000008,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.19,4558.06,12007.45
6,Smsy,Beverton-Holt,4558.06,1262.03,8155.66,4030161.8958,1.029,24.583312506206592,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.19,4558.06,12007.45
6,alpha,Beverton-Holt,0.97,0.5,3.64,0.357,1.029,-11.818181818181827,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.19,4558.06,12007.45
6,sigma,Beverton-Holt,1.19,1.1,1.3,0.0026,1.007,8.181818181818167,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.19,4558.06,12007.45
6,K,Beverton-Holt,5473.92,4421.94,7161.17,492979.7021,1.001,-45.2608,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.65,1.17,1656.28,5473.92
6,Smsy,Beverton-Holt,1656.28,58.19,2730.88,555211.6011,1.002,-61.09597698977136,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.65,1.17,1656.28,5473.92
6,alpha,Beverton-Holt,1.65,0.63,8.95,4.6866,1.002,49.999999999999986,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.65,1.17,1656.28,5473.92
6,sigma,Beverton-Holt,1.17,1.06,1.3,0.0038,1.001,6.363636363636348,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.65,1.17,1656.28,5473.92
6,K,Ricker,19135.25,12821.24,39372.09,57422308.3106,1.001,91.3525,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8969.07,19135.25
6,Smsy,Ricker,8969.07,6061.04,18751.91,13094525.6195,1.001,145.14737644963913,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8969.07,19135.25
6,alpha,Ricker,0.46,0.26,0.67,0.0114,1.002,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8969.07,19135.25
6,sigma,Ricker,1.22,1.13,1.33,0.0028,1.001,10.9090909090909,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,8969.07,19135.25
6,K,Ricker,6816.74,4244.31,9535.54,1778462.8294,1.001,-31.8326,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3181.32,6816.74
6,Smsy,Ricker,3181.32,2049.23,4413.77,352594.1974,1.001,-25.274623564312435,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3181.32,6816.74
6,alpha,Ricker,0.48,0.22,0.76,0.0191,1.001,-56.363636363636374,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3181.32,6816.74
6,sigma,Ricker,1.19,1.08,1.32,0.004,1.001,8.181818181818167,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3181.32,6816.74
7,K,Beverton-Holt,12077.9,9238.82,17876.5,6431210.6962,1.002,20.778999999999996,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4583.38,12077.9
7,Smsy,Beverton-Holt,4583.38,3086.07,7400.54,1564781.2754,1.002,25.27537217033061,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4583.38,12077.9
7,alpha,Beverton-Holt,0.97,0.55,1.6,0.0694,1.002,-11.818181818181827,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4583.38,12077.9
7,sigma,Beverton-Holt,1.2,1.11,1.3,0.0023,1.002,9.090909090909078,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4583.38,12077.9
7,K,Beverton-Holt,5491.53,4469.79,7065.17,463512.3788,1,-45.0847,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.58,1.17,1705.25,5491.53
7,Smsy,Beverton-Holt,1705.25,67.37,2695.3,492091.8757,1.002,-59.94573065049847,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.58,1.17,1705.25,5491.53
7,alpha,Beverton-Holt,1.58,0.65,8.63,3.8864,1.002,43.63636363636363,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.58,1.17,1705.25,5491.53
7,sigma,Beverton-Holt,1.17,1.06,1.29,0.0032,1.001,6.363636363636348,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.58,1.17,1705.25,5491.53
