simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
594,Ricker,alpha,2.654113581970063,Beverton-Holt,6.42,2.39,9.81,1,141.88866835286834,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.42,1.3,296.79,7568.89
594,Ricker,sigma,0.5564320319053105,Beverton-Holt,1.3,1.06,1.67,1,133.6314096707546,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.42,1.3,296.79,7568.89
594,Ricker,K,8141,Ricker,8513.87,7854.32,9207.59,1,4.5801498587397225,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.61,0.67,2706.82,8513.87
594,Ricker,Smsy,2568.6767045605684,Ricker,2706.82,2507.91,2944.15,1.001,5.37799463802372,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.61,0.67,2706.82,8513.87
594,Ricker,alpha,2.654113581970063,Ricker,2.61,2.23,3,1.001,-1.6620834266376425,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.61,0.67,2706.82,8513.87
594,Ricker,sigma,0.5564320319053105,Ricker,0.67,0.54,0.85,1.001,20.410034214927375,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.61,0.67,2706.82,8513.87
595,Beverton-Holt,K,8141,Beverton-Holt,6795.66,5307.37,9181.89,1.003,-16.525488269254392,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,5.22,0.63,455.97,6795.66
595,Beverton-Holt,Smsy,1706.7331597739187,Beverton-Holt,455.97,51.27,2698.16,1.004,-73.28404868747029,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,5.22,0.63,455.97,6795.66
595,Beverton-Holt,alpha,2.654113581970063,Beverton-Holt,5.22,1.38,9.7,1.003,96.67583314672471,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,5.22,0.63,455.97,6795.66
595,Beverton-Holt,sigma,0.5564320319053105,Beverton-Holt,0.63,0.49,0.84,1,13.221375455827229,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,5.22,0.63,455.97,6795.66
595,Beverton-Holt,K,8141,Ricker,8523.55,6283.54,13110.61,1,4.6990541702493465,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,1,0.68,3657.63,8523.55
595,Beverton-Holt,Smsy,1706.7331597739187,Ricker,3657.63,2759.78,5835.58,1.001,114.30590828179055,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,1,0.68,3657.63,8523.55
595,Beverton-Holt,alpha,2.654113581970063,Ricker,1,0.54,1.46,1.001,-62.32263732821366,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,1,0.68,3657.63,8523.55
595,Beverton-Holt,sigma,0.5564320319053105,Ricker,0.68,0.52,0.91,1.002,22.207198904702413,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,1,0.68,3657.63,8523.55
596,Ricker,K,8141,Beverton-Holt,5935.91,3310.97,11038.39,1.001,-27.086230192851,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.11,1.82,273.24,5935.91
596,Ricker,Smsy,2568.6767045605684,Beverton-Holt,273.24,38.9,1836.33,1.001,-89.36261618619133,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.11,1.82,273.24,5935.91
596,Ricker,alpha,2.654113581970063,Beverton-Holt,6.11,1.86,9.81,1,130.20868592461457,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.11,1.82,273.24,5935.91
596,Ricker,sigma,0.5564320319053105,Beverton-Holt,1.82,1.46,2.36,1,227.08397353905644,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.11,1.82,273.24,5935.91
596,Ricker,K,8141,Ricker,8084.06,7520.8,8673.58,1,-0.6994226753470041,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.67,0.56,2539.84,8084.06
596,Ricker,Smsy,2568.6767045605684,Ricker,2539.84,2409.17,2691.61,1,-1.1226288037482488,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.67,0.56,2539.84,8084.06
596,Ricker,alpha,2.654113581970063,Ricker,2.67,2.39,2.96,1.001,0.5985583336695403,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.67,0.56,2539.84,8084.06
596,Ricker,sigma,0.5564320319053105,Ricker,0.56,0.45,0.73,1.001,0.6412226274019899,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.67,0.56,2539.84,8084.06
597,Ricker,K,8141,Beverton-Holt,6980.26,4407.07,11341.6,1,-14.257953568357692,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,5.98,1.3,331.84,6980.26
597,Ricker,Smsy,2568.6767045605684,Beverton-Holt,331.84,48.47,1906.62,1,-87.08128588503048,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,5.98,1.3,331.84,6980.26
597,Ricker,alpha,2.654113581970063,Beverton-Holt,5.98,2.24,9.75,1,125.31062877728236,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,5.98,1.3,331.84,6980.26
597,Ricker,sigma,0.5564320319053105,Beverton-Holt,1.3,1.03,1.71,1,133.6314096707546,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,5.98,1.3,331.84,6980.26
597,Ricker,K,8141,Ricker,8408.03,7731.25,9108.12,1.001,3.2800638742169346,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.7,0.61,2625.47,8408.03
597,Ricker,Smsy,2568.6767045605684,Ricker,2625.47,2420.36,2857.85,1.001,2.2109942967364282,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.7,0.61,2625.47,8408.03
597,Ricker,alpha,2.654113581970063,Ricker,2.7,2.29,3.1,1.001,1.72887921382314,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.7,0.61,2625.47,8408.03
597,Ricker,sigma,0.5564320319053105,Ricker,0.61,0.48,0.82,1,9.627046076277155,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.7,0.61,2625.47,8408.03
598,Beverton-Holt,K,8141,Beverton-Holt,8648.77,7266.52,10832.3,1.005,6.237194447856534,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,3.83,0.51,1088.14,8648.77
598,Beverton-Holt,Smsy,1706.7331597739187,Beverton-Holt,1088.14,67.55,3489.97,1.007,-36.24428084914341,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,3.83,0.51,1088.14,8648.77
598,Beverton-Holt,alpha,2.654113581970063,Beverton-Holt,3.83,1.39,9.63,1.004,44.30429903294171,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,3.83,0.51,1088.14,8648.77
598,Beverton-Holt,sigma,0.5564320319053105,Beverton-Holt,0.51,0.42,0.65,1.002,-8.344600821473195,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,3.83,0.51,1088.14,8648.77
598,Beverton-Holt,K,8141,Ricker,9667.9,8441.81,11372.38,1,18.755681120255492,2.654113581970063,0.5564320319053105,1706.7331597739187,8141,1.22,0.49,4024.43,9667.9
