simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
6,Beverton-Holt,b_cov,-3.2682845978352004,Beverton-Holt,-2.76,-3.48,-1.94,1,-15.552029898861038,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.66,1.72,3721.68,9532.01
6,Beverton-Holt,sigma,1.7556353030984457,Beverton-Holt,1.72,1.29,2.47,1.001,-2.0297668334394126,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.66,1.72,3721.68,9532.01
6,Beverton-Holt,K,8142,Ricker,50745,1863.99,329326.17,1.001,523.2498157700811,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24799.85,50745
6,Beverton-Holt,Smsy,2649.3795259123253,Ricker,24799.85,931.13,154576.97,1.001,836.0625670065169,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24799.85,50745
6,Beverton-Holt,alpha,1.4581599758167985,Ricker,0.15,0.01,0.68,1.001,-89.71306286774355,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24799.85,50745
6,Beverton-Holt,b_cov,-3.2682845978352004,Ricker,-2.45,-3.33,-1.46,1.001,-25.037127989930987,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24799.85,50745
6,Beverton-Holt,sigma,1.7556353030984457,Ricker,2.29,1.74,3.26,1.002,30.437112762455673,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24799.85,50745
7,Beverton-Holt,K,8043,Beverton-Holt,7072.29,5343.22,10574.13,1,-12.069004102946662,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,3073.02,7072.29
7,Beverton-Holt,Smsy,3506.7551081898982,Beverton-Holt,3073.02,2299.51,4641.62,1,-12.368559959517155,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,3073.02,7072.29
7,Beverton-Holt,alpha,0.5148168283446065,Beverton-Holt,0.52,0.48,0.57,1,1.0067991895408688,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,3073.02,7072.29
7,Beverton-Holt,b_cov,0.01689123884829742,Beverton-Holt,0.02,-0.01,0.04,1.001,18.40457754237447,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,3073.02,7072.29
7,Beverton-Holt,sigma,0.0586351929105855,Beverton-Holt,0.07,0.06,0.09,1.001,19.382228530816008,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,3073.02,7072.29
7,Beverton-Holt,K,8043,Ricker,6167.48,4768.84,9037.98,1.001,-23.31866219072486,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2876.4,6167.48
7,Beverton-Holt,Smsy,3506.7551081898982,Ricker,2876.4,2212.98,4237.21,1.001,-17.975452768792632,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2876.4,6167.48
7,Beverton-Holt,alpha,0.5148168283446065,Ricker,0.52,0.47,0.56,1.001,1.0067991895408688,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2876.4,6167.48
7,Beverton-Holt,b_cov,0.01689123884829742,Ricker,0.02,-0.01,0.04,1.001,18.40457754237447,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2876.4,6167.48
7,Beverton-Holt,sigma,0.0586351929105855,Ricker,0.07,0.06,0.09,1.001,19.382228530816008,247.0100369451823,0.5148168283446065,0.0586351929105855,0.01689123884829742,3506.7551081898982,8043,0.52,0.07,2876.4,6167.48
8,Beverton-Holt,K,9869,Beverton-Holt,7103.92,3665.53,12747.4,1,-28.017833620427602,176.6530757441551,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.8,0.86,2805.92,7103.92
8,Beverton-Holt,Smsy,4086.014813461695,Beverton-Holt,2805.92,1581.29,5038.05,1,-31.328687533004597,176.6530757441551,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.8,0.86,2805.92,7103.92
8,Beverton-Holt,alpha,0.6946997916238086,Beverton-Holt,0.8,0.3,1.39,1.001,15.157656536798457,176.6530757441551,0.6946997916238086,0.8364698128785848,-1.652486788803681,4086.014813461695,9869,0.8,0.86,2805.92,7103.92
