simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
5,Ricker,K,10000,Ricker,9576.33,8944.88,10425.1,1.001,-4.236700000000001,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.78,9576.33
5,Ricker,Smsy,4257.348911099839,Ricker,4082.78,3770.32,4506.16,1.001,-4.100413537746447,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.78,9576.33
5,Ricker,alpha,1.1,Ricker,1.09,0.97,1.21,1.001,-0.9090909090909098,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.78,9576.33
5,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.002,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.78,9576.33
6,Beverton-Holt,K,10000,Beverton-Holt,10163.8,9198.27,11501.3,1.001,1.6379999999999928,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.1,0.11,3722.66,10163.8
6,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3722.66,3233.36,4357.07,1.001,1.7497167949423584,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.1,0.11,3722.66,10163.8
6,Beverton-Holt,alpha,1.1,Beverton-Holt,1.1,0.95,1.25,1.001,0,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.1,0.11,3722.66,10163.8
6,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.002,9.999999999999995,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.1,0.11,3722.66,10163.8
6,Ricker,K,10000,Beverton-Holt,10044.75,9147.03,11159.75,1,0.4475,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3252.3,10044.75
6,Ricker,Smsy,4257.348911099839,Beverton-Holt,3252.3,2670.04,3892.93,1.001,-23.60738882546029,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3252.3,10044.75
6,Ricker,alpha,1.1,Beverton-Holt,1.47,1.21,1.82,1.001,33.63636363636362,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3252.3,10044.75
6,Ricker,sigma,0.1,Beverton-Holt,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3252.3,10044.75
6,Beverton-Holt,K,10000,Ricker,9331.44,8558.62,10401.32,1.001,-6.685599999999994,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.25,9331.44
6,Beverton-Holt,Smsy,3658.6440898919936,Ricker,4080.25,3704.62,4598.7,1.001,11.52355626153438,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.25,9331.44
6,Beverton-Holt,alpha,1.1,Ricker,0.94,0.84,1.03,1.001,-14.545454545454557,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.25,9331.44
6,Beverton-Holt,sigma,0.1,Ricker,0.12,0.09,0.15,1.002,19.99999999999999,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.25,9331.44
6,Ricker,K,10000,Ricker,9579.3,8949.58,10398.4,1,-4.207000000000007,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.68,9579.3
6,Ricker,Smsy,4257.348911099839,Ricker,4082.68,3771.57,4492.77,1,-4.102762417344725,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.68,9579.3
6,Ricker,alpha,1.1,Ricker,1.09,0.97,1.21,1.001,-0.9090909090909098,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.68,9579.3
6,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.68,9579.3
7,Beverton-Holt,K,10000,Beverton-Holt,10167.45,9157,11544.01,1.001,1.6745000000000072,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.76,10167.45
7,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3723.76,3215.96,4395.24,1.001,1.7797825781389096,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.76,10167.45
7,Beverton-Holt,alpha,1.1,Beverton-Holt,1.09,0.95,1.26,1.001,-0.9090909090909098,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.76,10167.45
7,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.001,9.999999999999995,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.76,10167.45
7,Ricker,K,10000,Beverton-Holt,10037.5,9131.74,11196.9,1.002,0.375,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3247.46,10037.5
7,Ricker,Smsy,4257.348911099839,Beverton-Holt,3247.46,2656.69,3907.03,1.002,-23.721074598016568,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3247.46,10037.5
7,Ricker,alpha,1.1,Beverton-Holt,1.47,1.2,1.84,1.002,33.63636363636362,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3247.46,10037.5
7,Ricker,sigma,0.1,Beverton-Holt,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3247.46,10037.5
7,Beverton-Holt,K,10000,Ricker,9335.88,8561.76,10481.27,1.001,-6.641200000000008,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.47,9335.88
7,Beverton-Holt,Smsy,3658.6440898919936,Ricker,4082.47,3702.85,4639,1.001,11.58423447853103,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.47,9335.88
7,Beverton-Holt,alpha,1.1,Ricker,0.94,0.84,1.03,1.001,-14.545454545454557,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.47,9335.88
7,Beverton-Holt,sigma,0.1,Ricker,0.12,0.09,0.15,1.001,19.99999999999999,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.47,9335.88
7,Ricker,K,10000,Ricker,9573.36,8937.6,10422.21,1,-4.266399999999994,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.4,9573.36
7,Ricker,Smsy,4257.348911099839,Ricker,4080.4,3762.73,4499.85,1,-4.156316872185278,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.4,9573.36
7,Ricker,alpha,1.1,Ricker,1.09,0.97,1.21,1.001,-0.9090909090909098,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.4,9573.36
7,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.4,9573.36
8,Beverton-Holt,K,10000,Beverton-Holt,10166.9,9179.63,11550.5,1,1.6689999999999963,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.21,10166.9
8,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3723.21,3233.46,4402.69,1.001,1.764749686540634,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.21,10166.9
8,Beverton-Holt,alpha,1.1,Beverton-Holt,1.09,0.95,1.25,1.001,-0.9090909090909098,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.21,10166.9
8,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.001,9.999999999999995,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3723.21,10166.9
8,Ricker,K,10000,Beverton-Holt,10030.4,9172.35,11174.86,1.001,0.3039999999999964,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3246.16,10030.4
8,Ricker,Smsy,4257.348911099839,Beverton-Holt,3246.16,2694.99,3906.92,1.002,-23.751610032794083,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3246.16,10030.4
8,Ricker,alpha,1.1,Beverton-Holt,1.47,1.21,1.81,1.002,33.63636363636362,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3246.16,10030.4
8,Ricker,sigma,0.1,Beverton-Holt,0.12,0.09,0.17,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.47,0.12,3246.16,10030.4
8,Beverton-Holt,K,10000,Ricker,9331.13,8550.56,10417.92,1.001,-6.688700000000009,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.98,9331.13
8,Beverton-Holt,Smsy,3658.6440898919936,Ricker,4080.98,3694.65,4607.74,1.001,11.543509008564811,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.98,9331.13
8,Beverton-Holt,alpha,1.1,Ricker,0.94,0.84,1.03,1.002,-14.545454545454557,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.98,9331.13
8,Beverton-Holt,sigma,0.1,Ricker,0.12,0.09,0.15,1.001,19.99999999999999,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4080.98,9331.13
