simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
22,Beverton-Holt,K,8066,Beverton-Holt,9895.74,6895.83,16120.86,1.002,22.684602033225882,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.49,0.8,3146.35,9895.74
22,Beverton-Holt,Smsy,2621.799741952074,Beverton-Holt,3146.35,351.25,6064.32,1.004,20.00725874117943,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.49,0.8,3146.35,9895.74
22,Beverton-Holt,alpha,1.4613797256967063,Beverton-Holt,1.49,0.8,6.12,1.017,1.9584419983416108,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.49,0.8,3146.35,9895.74
22,Beverton-Holt,sigma,0.8962340038380374,Beverton-Holt,0.8,0.66,1,1.001,-10.737597929326977,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.49,0.8,3146.35,9895.74
22,Beverton-Holt,K,8066,Ricker,11130.63,8672.2,15762.75,NA,37.994421026531114,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.04,0.8,4770.06,11130.63
22,Beverton-Holt,Smsy,2621.799741952074,Ricker,4770.06,3730.12,6946.47,1.002,81.93838086384235,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.04,0.8,4770.06,11130.63
22,Beverton-Holt,alpha,1.4613797256967063,Ricker,1.04,0.68,1.42,1.002,-28.834376054848807,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.04,0.8,4770.06,11130.63
22,Beverton-Holt,sigma,0.8962340038380374,Ricker,0.8,0.66,0.98,1.001,-10.737597929326977,1.4613797256967063,0.8962340038380374,2621.799741952074,8066,1.04,0.8,4770.06,11130.63
23,Ricker,K,8102,Beverton-Holt,6433.46,4218.11,10007.17,1.007,-20.59417427795606,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,3.91,1.19,783.71,6433.46
23,Ricker,Smsy,2698.964277384816,Beverton-Holt,783.71,56.21,2091.61,1.006,-70.96256491548,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,3.91,1.19,783.71,6433.46
23,Ricker,alpha,2.3934911104126484,Beverton-Holt,3.91,1.96,9.28,1.001,63.3597042825824,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,3.91,1.19,783.71,6433.46
23,Ricker,sigma,0.8670337994373545,Beverton-Holt,1.19,0.95,1.56,1,37.249551375301444,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,3.91,1.19,783.71,6433.46
23,Ricker,K,8102,Ricker,7731.2,6799.37,8709.68,NA,-4.576647741298447,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,2.17,0.75,2689.09,7731.2
23,Ricker,Smsy,2698.964277384816,Ricker,2689.09,2421.16,3023.19,1,-0.3658543192866378,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,2.17,0.75,2689.09,7731.2
23,Ricker,alpha,2.3934911104126484,Ricker,2.17,1.78,2.54,1,-9.337453121942769,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,2.17,0.75,2689.09,7731.2
23,Ricker,sigma,0.8670337994373545,Ricker,0.75,0.6,0.98,0.999,-13.498181906322614,2.3934911104126484,0.8670337994373545,2698.964277384816,8102,2.17,0.75,2689.09,7731.2
24,Ricker,K,8182,Beverton-Holt,8800.06,7394.16,10513.57,1,7.553898802248833,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,7.2,0.57,234.61,8800.06
24,Ricker,Smsy,2780.7354555114666,Beverton-Holt,234.61,62.56,1243.99,1,-91.5630233888305,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,7.2,0.57,234.61,8800.06
24,Ricker,alpha,2.2961163399080653,Beverton-Holt,7.2,3.68,9.86,1,213.5729612153835,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,7.2,0.57,234.61,8800.06
24,Ricker,sigma,0.16826924517269815,Beverton-Holt,0.57,0.47,0.72,1.002,238.74282814723355,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,7.2,0.57,234.61,8800.06
24,Ricker,K,8182,Ricker,8208.89,8033.3,8392.29,NA,0.32864825226105376,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,2.39,0.16,2735.03,8208.89
24,Ricker,Smsy,2780.7354555114666,Ricker,2735.03,2657.97,2815.93,1.003,-1.6436463030266835,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,2.39,0.16,2735.03,8208.89
24,Ricker,alpha,2.2961163399080653,Ricker,2.39,2.29,2.49,1.002,4.088802403439795,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,2.39,0.16,2735.03,8208.89
24,Ricker,sigma,0.16826924517269815,Ricker,0.16,0.13,0.2,1,-4.914293853408118,2.2961163399080653,0.16826924517269815,2780.7354555114666,8182,2.39,0.16,2735.03,8208.89
25,Ricker,K,8122,Beverton-Holt,6708.86,5555.45,8312.09,1.01,-17.39891652302389,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,4.05,0.61,764.96,6708.86
25,Ricker,Smsy,3290.7144945099085,Beverton-Holt,764.96,52.45,2421.03,1.018,-76.75398454420073,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,4.05,0.61,764.96,6708.86
25,Ricker,alpha,1.3857932329887466,Beverton-Holt,4.05,1.55,9.62,1.009,192.25139101490245,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,4.05,0.61,764.96,6708.86
25,Ricker,sigma,0.6944735211803166,Beverton-Holt,0.61,0.51,0.77,1.004,-12.163677750700515,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,4.05,0.61,764.96,6708.86
25,Ricker,K,8122,Ricker,8100.14,6885.45,9619.56,NA,-0.2691455306574695,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,1.19,0.61,3380.94,8100.14
25,Ricker,Smsy,3290.7144945099085,Ricker,3380.94,2913.35,4054.02,1,2.741821134608306,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,1.19,0.61,3380.94,8100.14
25,Ricker,alpha,1.3857932329887466,Ricker,1.19,0.88,1.5,1.002,-14.128603627720022,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,1.19,0.61,3380.94,8100.14
25,Ricker,sigma,0.6944735211803166,Ricker,0.61,0.5,0.76,1.002,-12.163677750700515,1.3857932329887466,0.6944735211803166,3290.7144945099085,8122,1.19,0.61,3380.94,8100.14
26,Ricker,K,8871,Beverton-Holt,8232.56,2639.88,43613.07,1.012,-7.1969338293315355,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.53,1.18,3426.85,8232.56
26,Ricker,Smsy,4158.707129514856,Beverton-Holt,3426.85,1142.68,19274.65,1.014,-17.59818873324299,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.53,1.18,3426.85,8232.56
